split,sample_id,family,parent_relative_l2,cpadc_relative_l2,relative_improvement_fraction,nonworse,adaptation_accepted,all_saved_time_indices,prediction_sealed_before_truth
validation,validation_uniform_00000,uniform,5.751180427765664,5.751180427765664,0.0,True,False,401,True
validation,validation_uniform_00001,uniform,5.0695624836899045,5.0695624836899045,0.0,True,False,401,True
validation,validation_uniform_00002,uniform,5.350625316417623,5.350625316417623,0.0,True,False,401,True
validation,validation_uniform_00003,uniform,5.337912156782719,5.337912156782719,0.0,True,False,401,True
validation,validation_uniform_00004,uniform,5.616867303468141,5.616867303468141,0.0,True,False,401,True
validation,validation_uniform_00005,uniform,5.507086294508471,5.507086294508471,0.0,True,False,401,True
validation,validation_uniform_00006,uniform,7.612781171180253,7.612781171180253,0.0,True,False,401,True
validation,validation_uniform_00007,uniform,7.319556673117886,7.319556673117886,0.0,True,False,401,True
validation,validation_uniform_00008,uniform,5.444547506464042,5.310067907233889,0.024699866989955053,True,True,401,True
validation,validation_uniform_00009,uniform,4.70489074942778,4.70489074942778,0.0,True,False,401,True
validation,validation_uniform_00010,uniform,5.248978978288916,5.248978978288916,0.0,True,False,401,True
validation,validation_uniform_00011,uniform,5.422482481038541,5.422482481038541,0.0,True,False,401,True
validation,validation_uniform_00012,uniform,7.4241230984937765,7.4241230984937765,0.0,True,False,401,True
validation,validation_uniform_00013,uniform,5.249085476357572,5.249085476357572,0.0,True,False,401,True
validation,validation_uniform_00014,uniform,5.285939357491576,5.285939357491576,0.0,True,False,401,True
validation,validation_uniform_00015,uniform,4.534799115546505,4.424274709767159,0.024372503161262143,True,True,401,True
validation,validation_uniform_00016,uniform,6.212642242856315,6.212642242856315,0.0,True,False,401,True
validation,validation_uniform_00017,uniform,5.364570651368989,5.364570651368989,0.0,True,False,401,True
validation,validation_uniform_00018,uniform,4.621273655977813,4.621273655977813,0.0,True,False,401,True
validation,validation_uniform_00019,uniform,7.581056529940183,7.473905936380765,0.014133992160095782,True,True,401,True
validation,validation_uniform_00020,uniform,6.924192248367732,6.924192248367732,0.0,True,False,401,True
validation,validation_uniform_00021,uniform,5.132209596225393,5.056578309139527,0.014736593599273614,True,True,401,True
validation,validation_uniform_00022,uniform,7.425711481083985,7.425711481083985,0.0,True,False,401,True
validation,validation_uniform_00023,uniform,5.2039761289444,5.2039761289444,0.0,True,False,401,True
validation,validation_uniform_00024,uniform,5.115930638259151,5.115930638259151,0.0,True,False,401,True
validation,validation_uniform_00025,uniform,5.351799830787421,5.351799830787421,0.0,True,False,401,True
validation,validation_uniform_00026,uniform,5.507392586255073,5.507392586255073,0.0,True,False,401,True
validation,validation_uniform_00027,uniform,6.36309113416645,6.36309113416645,0.0,True,False,401,True
validation,validation_uniform_00028,uniform,7.199741398065974,7.107393691242227,0.012826531081873873,True,True,401,True
validation,validation_uniform_00029,uniform,5.870391971197421,5.870391971197421,0.0,True,False,401,True
validation,validation_uniform_00030,uniform,6.469121553583905,6.469121553583905,0.0,True,False,401,True
validation,validation_uniform_00031,uniform,5.907751596681779,5.907751596681779,0.0,True,False,401,True
validation,validation_uniform_00032,uniform,6.779585805498804,6.699901581868032,0.0117535533758038,True,True,401,True
validation,validation_uniform_00033,uniform,6.673727360243076,6.673727360243076,0.0,True,False,401,True
validation,validation_uniform_00034,uniform,5.5775037221464085,5.5775037221464085,0.0,True,False,401,True
validation,validation_uniform_00035,uniform,4.798409904329001,4.763410849392248,0.007293886023613483,True,True,401,True
validation,validation_uniform_00036,uniform,5.887672374402234,5.887672374402234,0.0,True,False,401,True
validation,validation_uniform_00037,uniform,5.593462452195898,5.593462452195898,0.0,True,False,401,True
validation,validation_uniform_00038,uniform,5.087111945395114,5.087111945395114,0.0,True,False,401,True
validation,validation_uniform_00039,uniform,6.227959682032787,6.144137010559147,0.013459090256390421,True,True,401,True
validation,validation_uniform_00040,uniform,4.493134925297064,4.493134925297064,0.0,True,False,401,True
validation,validation_uniform_00041,uniform,4.650815085134082,4.650815085134082,0.0,True,False,401,True
validation,validation_uniform_00042,uniform,4.264293129310733,4.147250258503522,0.027447191658264196,True,True,401,True
validation,validation_uniform_00043,uniform,4.707926501489935,4.707926501489935,0.0,True,False,401,True
validation,validation_uniform_00044,uniform,5.410410212697598,5.410410212697598,0.0,True,False,401,True
validation,validation_uniform_00045,uniform,5.885991136365377,5.885991136365377,0.0,True,False,401,True
validation,validation_uniform_00046,uniform,4.866329038207164,4.866329038207164,0.0,True,False,401,True
validation,validation_uniform_00047,uniform,6.374020238270875,6.374020238270875,0.0,True,False,401,True
validation,validation_uniform_00048,uniform,4.629435568893919,4.544918571339242,0.01825643672903952,True,True,401,True
validation,validation_uniform_00049,uniform,5.73228427164869,5.73228427164869,0.0,True,False,401,True
validation,validation_uniform_00050,uniform,6.60795555447697,6.60795555447697,0.0,True,False,401,True
validation,validation_uniform_00051,uniform,7.41109459813617,7.41109459813617,0.0,True,False,401,True
validation,validation_uniform_00052,uniform,5.342309437210377,5.342309437210377,0.0,True,False,401,True
validation,validation_uniform_00053,uniform,4.573997672992786,4.573997672992786,0.0,True,False,401,True
validation,validation_uniform_00054,uniform,5.67301539241427,5.67301539241427,0.0,True,False,401,True
validation,validation_uniform_00055,uniform,5.271141967150627,5.271141967150627,0.0,True,False,401,True
validation,validation_uniform_00056,uniform,4.908474543164492,4.908474543164492,0.0,True,False,401,True
validation,validation_uniform_00057,uniform,4.879902789105127,4.847400241823064,0.006660490728345747,True,True,401,True
validation,validation_uniform_00058,uniform,7.6497104096574144,7.543494465375653,0.01388496277554102,True,True,401,True
validation,validation_uniform_00059,uniform,7.359686619024404,7.267400571807449,0.012539399025279247,True,True,401,True
validation,validation_uniform_00060,uniform,4.8557959062814975,4.8557959062814975,0.0,True,False,401,True
validation,validation_uniform_00061,uniform,4.5390902386563585,4.3604003637322934,0.03936689193845154,True,True,401,True
validation,validation_uniform_00062,uniform,4.663639304869424,4.663639304869424,0.0,True,False,401,True
validation,validation_uniform_00063,uniform,5.106634052361931,5.106634052361931,0.0,True,False,401,True
validation,validation_uniform_00064,uniform,4.51584640078082,4.51584640078082,0.0,True,False,401,True
validation,validation_uniform_00065,uniform,6.2745794602528475,6.2745794602528475,0.0,True,False,401,True
validation,validation_uniform_00066,uniform,4.931595920688596,4.743836943578719,0.03807266047938097,True,True,401,True
validation,validation_uniform_00067,uniform,6.635560799200915,6.635560799200915,0.0,True,False,401,True
validation,validation_uniform_00068,uniform,6.41895008886067,6.41895008886067,0.0,True,False,401,True
validation,validation_uniform_00069,uniform,6.296018672585444,6.296018672585444,0.0,True,False,401,True
validation,validation_uniform_00070,uniform,5.62410626260554,5.62410626260554,0.0,True,False,401,True
validation,validation_uniform_00071,uniform,5.082313015335595,5.082313015335595,0.0,True,False,401,True
validation,validation_uniform_00072,uniform,6.669726014385684,6.669726014385684,0.0,True,False,401,True
validation,validation_uniform_00073,uniform,5.547775754366884,5.547775754366884,0.0,True,False,401,True
validation,validation_uniform_00074,uniform,4.706435755006842,4.706435755006842,0.0,True,False,401,True
validation,validation_uniform_00075,uniform,6.7687660463017165,6.676885501494291,0.013574194200082716,True,True,401,True
validation,validation_uniform_00076,uniform,5.0787359022546035,5.0787359022546035,0.0,True,False,401,True
validation,validation_uniform_00077,uniform,6.118452037377054,6.118452037377054,0.0,True,False,401,True
validation,validation_uniform_00078,uniform,6.158036282890772,6.158036282890772,0.0,True,False,401,True
validation,validation_uniform_00079,uniform,5.5192660237445,5.5192660237445,0.0,True,False,401,True
validation,validation_uniform_00080,uniform,5.641884272168808,5.641884272168808,0.0,True,False,401,True
validation,validation_uniform_00081,uniform,5.189197832669846,5.189197832669846,0.0,True,False,401,True
validation,validation_uniform_00082,uniform,5.008478637795991,5.008478637795991,0.0,True,False,401,True
validation,validation_uniform_00083,uniform,4.603057039939773,4.603057039939773,0.0,True,False,401,True
validation,validation_uniform_00084,uniform,5.399843671165217,5.399843671165217,0.0,True,False,401,True
validation,validation_uniform_00085,uniform,4.82659942232249,4.82659942232249,0.0,True,False,401,True
validation,validation_uniform_00086,uniform,4.690009996415242,4.690009996415242,0.0,True,False,401,True
validation,validation_uniform_00087,uniform,7.088197620972749,7.088197620972749,0.0,True,False,401,True
validation,validation_uniform_00088,uniform,4.736098680596314,4.6402230433916385,0.020243589433107768,True,True,401,True
validation,validation_uniform_00089,uniform,5.082165113381304,5.015669706286351,0.013084070590282697,True,True,401,True
validation,validation_layered_00000,layered,6.109080755233757,6.109080755233757,0.0,True,False,401,True
validation,validation_layered_00001,layered,5.683864090422104,5.683864090422104,0.0,True,False,401,True
validation,validation_layered_00002,layered,6.480503064672824,6.480503064672824,0.0,True,False,401,True
validation,validation_layered_00003,layered,5.075684527955991,5.075684527955991,0.0,True,False,401,True
validation,validation_layered_00004,layered,5.508239367641808,5.508239367641808,0.0,True,False,401,True
validation,validation_layered_00005,layered,5.211690988791343,5.212139692591392,-8.609562635504045e-05,False,True,401,True
validation,validation_layered_00006,layered,4.471142530751792,4.471142530751792,0.0,True,False,401,True
validation,validation_layered_00007,layered,5.264061130333605,5.264061130333605,0.0,True,False,401,True
validation,validation_layered_00008,layered,5.135021827273584,5.135021827273584,0.0,True,False,401,True
validation,validation_layered_00009,layered,5.22333306328355,5.22333306328355,0.0,True,False,401,True
validation,validation_layered_00010,layered,4.984154608175484,4.984154608175484,0.0,True,False,401,True
validation,validation_layered_00011,layered,5.369193465779522,5.369193465779522,0.0,True,False,401,True
validation,validation_layered_00012,layered,5.311969828750499,5.311969828750499,0.0,True,False,401,True
validation,validation_layered_00013,layered,4.672244355596212,4.571633245716717,0.02153378595427867,True,True,401,True
validation,validation_layered_00014,layered,5.618862178931409,5.618862178931409,0.0,True,False,401,True
validation,validation_layered_00015,layered,5.1558079020518575,5.080233509195538,0.014658108737186107,True,True,401,True
validation,validation_layered_00016,layered,4.611969453438934,4.452795884643794,0.034513144634219436,True,True,401,True
validation,validation_layered_00017,layered,5.241828969522925,5.241828969522925,0.0,True,False,401,True
validation,validation_layered_00018,layered,5.556715642929354,5.382944457511776,0.03127228323059736,True,True,401,True
validation,validation_layered_00019,layered,4.74254264103046,4.74254264103046,0.0,True,False,401,True
validation,validation_layered_00020,layered,5.532782841805044,5.532782841805044,0.0,True,False,401,True
validation,validation_layered_00021,layered,5.535002518544125,5.493403610125382,0.007515607857335745,True,True,401,True
validation,validation_layered_00022,layered,6.246884345705787,6.246884345705787,0.0,True,False,401,True
validation,validation_layered_00023,layered,5.502398798703074,5.502398798703074,0.0,True,False,401,True
validation,validation_layered_00024,layered,4.4877273825458595,4.3770408488554855,0.024664273084160068,True,True,401,True
validation,validation_layered_00025,layered,4.7156477329198925,4.694966841752971,0.004385588648309769,True,True,401,True
validation,validation_layered_00026,layered,5.2262963569900425,5.2262963569900425,0.0,True,False,401,True
validation,validation_layered_00027,layered,4.566651739878607,4.566651739878607,0.0,True,False,401,True
validation,validation_layered_00028,layered,5.176487732518169,5.176487732518169,0.0,True,False,401,True
validation,validation_layered_00029,layered,5.887786644710294,5.8173417103344836,0.01196458680089908,True,True,401,True
validation,validation_layered_00030,layered,5.109643413502156,5.109643413502156,0.0,True,False,401,True
validation,validation_layered_00031,layered,5.315036028769776,5.315036028769776,0.0,True,False,401,True
validation,validation_layered_00032,layered,5.453851481371267,5.35682810801249,0.017789881827581816,True,True,401,True
validation,validation_layered_00033,layered,5.343418140074526,5.343418140074526,0.0,True,False,401,True
validation,validation_layered_00034,layered,5.358982980308688,5.358982980308688,0.0,True,False,401,True
validation,validation_layered_00035,layered,5.054455202886566,5.054455202886566,0.0,True,False,401,True
validation,validation_layered_00036,layered,4.995102373144159,4.995102373144159,0.0,True,False,401,True
