model,hyperparameter,value
deployed_r5b,parameter_count,32420564
deployed_r5b,width,128
deployed_r5b,decoder_depth,12
deployed_r5b,spectral_modes,32
deployed_r5b,spectral_rank,112
deployed_r5b,temporal_latent_rank,32
deployed_r5b,temporal_harmonics,4
deployed_r5b,warp_max_shift_cells,8.0
deployed_r5b,local_channels,1|1|2|2
deployed_r5b,optimizer,muon_adamw
deployed_r5b,frames_per_record,24
deployed_r5b,effective_records_per_update,32
patch_deeponet,parameter_count,32420465
patch_deeponet,branch_blocks,4
patch_deeponet,branch_bottleneck_width,32
patch_deeponet,branch_global_width,5591
patch_deeponet,branch_width,64
patch_deeponet,fourier_bands,16
patch_deeponet,latent_dim,64
patch_deeponet,local_residual_width,32
patch_deeponet,parameter_tolerance_fraction,0.001
patch_deeponet,query_channels,10
patch_deeponet,ricker_bias_init,0.1
patch_deeponet,static_channels,4
patch_deeponet,target_parameters,32420564
patch_deeponet,trunk_depth,4
patch_deeponet,trunk_width,48
