split,x0_m,z0_m,max_train_overlap_fraction,nearest_train_x0_m,nearest_train_z0_m
ood_canonical,3600.0,0.0,0.0,7200.0,200.0
test_id,0.0,50.0,0.975,50.0,50.0
test_id,100.0,0.0,0.975,150.0,0.0
test_id,150.0,50.0,0.975,200.0,50.0
test_id,250.0,0.0,0.975,300.0,0.0
test_id,300.0,50.0,0.975,350.0,50.0
test_id,400.0,0.0,0.975,450.0,0.0
test_id,450.0,50.0,0.975,500.0,50.0
test_id,550.0,0.0,0.975,600.0,0.0
test_id,600.0,50.0,0.975,650.0,50.0
test_id,700.0,0.0,0.975,750.0,0.0
test_id,750.0,50.0,0.975,800.0,50.0
test_id,850.0,0.0,0.975,900.0,0.0
test_id,900.0,50.0,0.975,950.0,50.0
test_id,1000.0,0.0,0.975,1050.0,0.0
test_id,1050.0,50.0,0.975,1100.0,50.0
test_id,1150.0,0.0,0.975,1200.0,0.0
test_id,1200.0,50.0,0.975,1250.0,50.0
test_id,1300.0,0.0,0.975,1350.0,0.0
test_id,1350.0,50.0,0.975,1350.0,0.0
test_id,5900.0,0.0,0.975,5950.0,0.0
test_id,5950.0,50.0,0.975,6000.0,50.0
test_id,6050.0,0.0,0.975,6100.0,0.0
test_id,6100.0,50.0,0.975,6150.0,50.0
test_id,6200.0,0.0,0.975,6250.0,0.0
test_id,6350.0,0.0,0.975,6400.0,0.0
test_id,6500.0,0.0,0.975,6550.0,0.0
test_id,6650.0,0.0,0.975,6700.0,0.0
test_id,6800.0,0.0,0.975,6850.0,0.0
test_id,6950.0,0.0,0.975,7000.0,0.0
test_id,7100.0,0.0,0.975,7150.0,0.0
validation,50.0,0.0,0.975,50.0,50.0
validation,100.0,50.0,0.975,100.0,100.0
validation,200.0,0.0,0.975,200.0,50.0
validation,250.0,50.0,0.975,250.0,100.0
validation,350.0,0.0,0.975,350.0,50.0
validation,400.0,50.0,0.975,400.0,100.0
validation,500.0,0.0,0.975,500.0,50.0
validation,550.0,50.0,0.975,550.0,100.0
validation,650.0,0.0,0.975,650.0,50.0
validation,700.0,50.0,0.975,700.0,100.0
validation,800.0,0.0,0.975,800.0,50.0
validation,850.0,50.0,0.975,850.0,100.0
validation,950.0,0.0,0.975,950.0,50.0
validation,1000.0,50.0,0.975,1000.0,100.0
validation,1100.0,0.0,0.975,1100.0,50.0
validation,1150.0,50.0,0.975,1150.0,100.0
validation,1250.0,0.0,0.975,1250.0,50.0
validation,1300.0,50.0,0.975,1300.0,100.0
validation,5850.0,0.0,0.975,5850.0,50.0
validation,5900.0,50.0,0.975,5900.0,100.0
validation,6000.0,0.0,0.975,6000.0,50.0
validation,6050.0,50.0,0.975,6050.0,100.0
validation,6150.0,0.0,0.975,6150.0,50.0
validation,6300.0,0.0,0.975,6300.0,50.0
validation,6450.0,0.0,0.975,6450.0,50.0
validation,6600.0,0.0,0.975,6600.0,50.0
validation,6750.0,0.0,0.975,6750.0,50.0
validation,6900.0,0.0,0.975,6900.0,50.0
validation,7050.0,0.0,0.975,7050.0,50.0
validation,7200.0,0.0,0.975,7200.0,50.0
