arm,dx_m,dt_s,c_mps,f0_hz,band_low_hz,band_high_hz,ppw_min,q_mode_max,q_full_spectrum,all_modes_spectral_stable,all_modes_strict_stable,all_modes_monotone,full_spectrum_stable,full_spectrum_strict,full_spectrum_safe,full_spectrum_monotone,grid_aliased_modes,valid_modes,invalid_modes,max_abs_spatial_error,min_signed_spatial_error,max_signed_spatial_error,max_abs_total_error,min_signed_total_error,max_signed_total_error,max_abs_temporal_increment,min_signed_temporal_increment,max_signed_temporal_increment,max_abs_phase_1s_rad,weighted_abs_spatial_error,weighted_abs_total_error,weighted_abs_temporal_increment,weighted_abs_phase_1s_rad,max_angular_anisotropy,max_abs_teacher_delta_phase_1s_rad,quadrature_valid_energy_fraction,worst_total_frequency_hz,worst_total_angle_deg
teacher,5.0,0.000125,1500.0,8.0,3.6468322988295747,14.328992703762552,20.936572877256406,0.00012665171799361137,0.018285714285714284,True,True,True,True,True,True,True,0,23478,0,1.0232106828489407e-08,-1.0232106828489407e-08,-1.1435297153639112e-14,1.0254385895969165e-08,-1.0254385895969165e-08,-1.0491607582707729e-13,2.2279289524362866e-11,-2.2279289524362866e-11,-9.325873406851315e-14,9.232199630775412e-07,3.71912079167646e-10,3.760462626960066e-10,4.13418352836059e-12,2.8488893627818263e-08,9.586022642338321e-09,0.0,0.9999999999999999,14.328992703762552,0.0
r6,5.0,0.000625,1500.0,8.0,3.6468322988295747,14.328992703762552,20.936572877256406,0.0031662929498402844,0.45714285714285713,True,True,True,True,True,True,True,0,23478,0,1.0232106828489407e-08,-1.0232106828489407e-08,-1.1435297153639112e-14,2.416285127537776e-08,-2.416285127537776e-08,-5.843459049970079e-11,1.3930745335066774e-08,-1.3930745335066774e-08,-5.842282213563976e-11,2.1754229739950733e-06,3.71912079167646e-10,2.9564246134062587e-09,2.584512534238613e-09,2.034309334848401e-07,9.586021865182204e-09,1.25220309088176e-06,0.9999999999999999,14.328992703762552,0.0
time_refined,5.0,0.0003125,1500.0,8.0,3.6468322988295747,14.328992703762552,20.936572877256406,0.0007915732374600711,0.11428571428571428,True,True,True,True,True,True,True,0,23478,0,1.0232106828489407e-08,-1.0232106828489407e-08,-1.1435297153639112e-14,1.1102470609536397e-08,-1.1102470609536397e-08,-3.6628478028433165e-12,8.703641141138974e-10,-8.703641141138974e-10,-3.651190461084752e-12,9.995744855120772e-07,3.71912079167646e-10,5.334106268683564e-10,1.6149854770071042e-10,3.915758054530556e-08,9.586022309271414e-09,7.635455242112134e-08,0.9999999999999999,14.328992703762552,0.0
space_refined,2.5,0.000125,1500.0,8.0,3.6468322988295747,14.328992703762552,41.87314575451281,0.00012665171815662258,0.07314285714285713,True,True,True,True,True,True,True,0,23478,0,4.058731128964155e-11,-4.058731128964155e-11,4.440892098500626e-16,6.286660081400441e-11,-6.286660081400441e-11,-9.35918009759007e-14,2.2279289524362866e-11,-2.2279289524362866e-11,-9.336975637097567e-14,5.659987976962146e-09,1.4676356058525832e-12,5.601824640993721e-12,4.134189183490835e-12,3.9163408405687164e-10,3.804445647404009e-11,9.175599751005791e-07,0.9999999999999999,14.328992703762552,0.0
coarse_125us,10.0,0.000125,1500.0,8.0,3.6468322988295747,14.328992703762552,10.468286438628203,0.00012665167752794936,0.004571428571428571,True,True,True,True,True,True,True,0,23478,0,2.4634966601100317e-06,-2.4634966601100317e-06,-2.9338753648744387e-12,2.4635189388444445e-06,-2.4635189388444445e-06,-3.027356143547877e-12,2.2279289524362866e-11,-2.2279289524362866e-11,-9.325873406851315e-14,0.00022179483850464512,9.141637117237724e-08,9.142050535090685e-08,4.1341785295983726e-12,6.924632415963058e-06,2.303098832978634e-06,0.00022087161854156758,0.9999999999999999,14.328992703762552,0.0
coarse_250us,10.0,0.00025,1500.0,8.0,3.6468322988295747,14.328992703762552,10.468286438628203,0.0005066067101117974,0.018285714285714284,True,True,True,True,True,True,True,0,23478,0,2.4634966601100317e-06,-2.4634966601100317e-06,-2.9338753648744387e-12,2.463853141843053e-06,-2.463853141843053e-06,-4.4295678236494496e-12,3.5648584084668755e-10,-3.5648584084668755e-10,-1.4953593918676233e-12,0.00022182492737424356,9.141637117237724e-08,9.148251926623412e-08,6.614809385687282e-11,6.928836708332801e-06,2.303098829758987e-06,0.00022090170741116601,0.9999999999999999,14.328992703762552,0.0
teacher,5.0,0.000125,1600.0,8.0,3.6468322988295747,14.328992703762552,22.332344402406836,0.00012665171805948937,0.020805079365079363,True,True,True,True,True,True,True,0,23478,0,6.120847051427347e-09,-6.120847051427347e-09,-6.8833827526759706e-15,6.143126229929408e-09,-6.143126229929408e-09,-1.0036416142611415e-13,2.2279289524362866e-11,-2.2279289524362866e-11,-9.336975637097567e-14,5.530761986834786e-07,2.22292338812313e-10,2.2642650993626178e-10,4.134171123948759e-12,1.714152107634038e-08,5.734838048887525e-09,0.0,0.9999999999999999,14.328992703762552,0.0
r6,5.0,0.000625,1600.0,8.0,3.6468322988295747,14.328992703762552,22.332344402406836,0.003166292951487234,0.5201269841269841,True,True,True,True,True,True,True,0,23478,0,6.120847051427347e-09,-6.120847051427347e-09,-6.8833827526759706e-15,2.0051591720360307e-08,-2.0051591720360307e-08,-5.84298165406949e-11,1.3930745224044472e-08,-1.3930745224044472e-08,-5.842293315794223e-11,1.8052792195965393e-06,2.22292338812313e-10,2.8068048749496054e-09,2.584512536137292e-09,1.9208356182089577e-07,5.734837604798315e-09,1.2522030908817599e-06,0.9999999999999999,14.328992703762552,0.0
time_refined,5.0,0.0003125,1600.0,8.0,3.6468322988295747,14.328992703762552,22.332344402406836,0.0007915732378718085,0.13003174603174603,True,True,True,True,True,True,True,0,23478,0,6.120847051427347e-09,-6.120847051427347e-09,-6.8833827526759706e-15,6.991210832474337e-09,-6.991210832474337e-09,-3.658295888442353e-12,8.703640030915949e-10,-8.703640030915949e-10,-3.651190461084752e-12,6.294307111224861e-07,2.22292338812313e-10,3.8379088081348035e-10,1.6149854200116737e-10,2.7810208335169302e-08,5.7348379378652226e-09,7.635454242559295e-08,0.9999999999999999,14.328992703762552,0.0
space_refined,2.5,0.000125,1600.0,8.0,3.6468322988295747,14.328992703762552,44.66468880481367,0.0001266517181568822,0.08322031746031745,True,True,True,True,True,True,True,0,23478,0,2.4234836359937617e-11,-2.4234836359937617e-11,2.220446049250313e-16,4.6513792817393096e-11,-4.6513792817393096e-11,-9.325873406851315e-14,2.2279289524362866e-11,-2.2279289524362866e-11,-9.336975637097567e-14,4.187716604692052e-09,8.761162601649322e-13,5.010289783807514e-12,4.134174076076954e-12,3.4675391372351854e-10,2.271638432915779e-11,5.488884820787865e-07,0.9999999999999999,14.328992703762552,0.0
coarse_125us,10.0,0.000125,1600.0,8.0,3.6468322988295747,14.328992703762552,11.166172201203418,0.00012665169379252704,0.005201269841269841,True,True,True,True,True,True,True,0,23478,0,1.4846501836807136e-06,-1.4846501836807136e-06,-1.7511547767412594e-12,1.484672462637171e-06,-1.484672462637171e-06,-1.844524533112235e-12,2.2279178502060404e-11,-2.2279178502060404e-11,-9.325873406851315e-14,0.00013366761013713392,5.490863226488911e-08,5.4912766432298566e-08,4.134167409463642e-12,4.160254747739162e-06,1.3884622233062416e-06,0.00013311453393845043,0.9999999999999999,14.328992703762552,0.0
coarse_250us,10.0,0.00025,1600.0,8.0,3.6468322988295747,14.328992703762552,11.166172201203418,0.0005066067751701082,0.020805079365079363,True,True,True,True,True,True,True,0,23478,0,1.4846501836807136e-06,-1.4846501836807136e-06,-1.7511547767412594e-12,1.485006666857025e-06,-1.485006666857025e-06,-3.2467362132138078e-12,3.5648584084668755e-10,-3.5648584084668755e-10,-1.4952483695651608e-12,0.0001336976991166832,5.490863226488911e-08,5.497478037910356e-08,6.614811421447071e-11,4.164459042711299e-06,1.3884622207527286e-06,0.0001331446229179997,0.9999999999999999,14.328992703762552,0.0
teacher,5.0,0.000125,1800.0,8.0,3.6468322988295747,14.328992703762552,25.123887452707688,0.00012665171811908653,0.02633142857142857,True,True,True,True,True,True,True,0,23478,0,2.394588416443355e-09,-2.394588416443355e-09,-2.55351295663786e-15,2.4168675949454155e-09,-2.4168675949454155e-09,-9.625633623500107e-14,2.227940054666533e-11,-2.227940054666533e-11,-9.336975637097567e-14,2.1759473793997754e-07,8.685445533178201e-11,9.098867693954112e-11,4.134221607759115e-12,6.868881256341035e-09,2.243859320572028e-09,0.0,0.9999999999999999,14.328992703762552,0.0
r6,5.0,0.000625,1800.0,8.0,3.6468322988295747,14.328992703762552,25.123887452707688,0.003166292952977163,0.6582857142857143,True,True,True,True,True,True,True,0,23478,0,2.394588416443355e-09,-2.394588416443355e-09,-2.55351295663786e-15,1.6325333640487827e-08,-1.6325333640487827e-08,-5.842559769320133e-11,1.3930745446089077e-08,-1.3930745446089077e-08,-5.842293315794223e-11,1.4697978088306805e-06,8.685445533178201e-11,2.671367001954328e-09,2.5845125466225457e-09,1.8181092002332193e-07,2.243859320572028e-09,1.2522030808862315e-06,0.9999999999999999,14.328992703762552,0.0
time_refined,5.0,0.0003125,1800.0,8.0,3.6468322988295747,14.328992703762552,25.123887452707688,0.0007915732382442908,0.16457142857142856,True,True,True,True,True,True,True,0,23478,0,2.394588416443355e-09,-2.394588416443355e-09,-2.55351295663786e-15,3.2649523085126475e-09,-3.2649523085126475e-09,-3.654077040948778e-12,8.703641141138974e-10,-8.703641141138974e-10,-3.651301483387215e-12,2.939492603745135e-07,8.685445533178201e-11,2.4835300289193183e-10,1.6149854756014984e-10,1.7537566145830538e-08,2.243859098527423e-09,7.635455242112137e-08,0.9999999999999999,14.328992703762552,0.0
space_refined,2.5,0.000125,1800.0,8.0,3.6468322988295747,14.328992703762552,50.247774905415376,0.00012665171815711681,0.10532571428571429,True,True,True,True,True,True,True,0,23478,0,9.454215188497983e-12,-9.454215188497983e-12,4.440892098500626e-16,3.173350471286085e-11,-3.173350471286085e-11,-9.325873406851315e-14,2.227940054666533e-11,-2.227940054666533e-11,-9.348077867343818e-14,2.857021897415091e-09,3.416645062868794e-13,4.475885220400531e-12,4.134221943373795e-12,3.06205730470783e-10,8.862466316372775e-12,2.1473771604256246e-07,0.9999999999999999,14.328992703762552,0.0
coarse_125us,10.0,0.000125,1800.0,8.0,3.6468322988295747,14.328992703762552,12.561943726353844,0.00012665170858929198,0.006582857142857143,True,True,True,True,True,True,True,0,23478,0,5.874328095067938e-07,-5.874328095067938e-07,-6.826761378420088e-13,5.874550886852958e-07,-5.874550886852958e-07,-7.762679388179095e-13,2.227940054666533e-11,-2.227940054666533e-11,-9.336975637097567e-14,5.2889589955741934e-05,2.1615218442392482e-08,2.1619352662910235e-08,4.1342205177498375e-12,1.6384316631118484e-06,5.496600298249277e-07,5.267199521780196e-05,0.9999999999999999,14.328992703762552,0.0
coarse_250us,10.0,0.00025,1800.0,8.0,3.6468322988295747,14.328992703762552,12.561943726353844,0.0005066068343571679,0.02633142857142857,True,True,True,True,True,True,True,0,23478,0,5.874328095067938e-07,-5.874328095067938e-07,-6.826761378420088e-13,5.877892945704843e-07,-5.877892945704843e-07,-2.1785906412219447e-12,3.564860628912925e-10,-3.564860628912925e-10,-1.4954704141700859e-12,5.2919679085224115e-05,2.1615218442392482e-08,2.168136663985814e-08,6.614819746565628e-11,1.6426359605141926e-06,5.49660028825727e-07,5.270208434728414e-05,0.9999999999999999,14.328992703762552,0.0
teacher,5.0,0.000125,3000.0,8.0,3.6468322988295747,14.328992703762552,41.87314575451281,0.00012665171815662258,0.07314285714285713,True,True,True,True,True,True,True,0,23478,0,4.058731128964155e-11,-4.058731128964155e-11,4.440892098500626e-16,6.286660081400441e-11,-6.286660081400441e-11,-9.35918009759007e-14,2.2279289524362866e-11,-2.2279289524362866e-11,-9.336975637097567e-14,5.659987976962146e-09,1.4676356058525832e-12,5.601824640993721e-12,4.134189183490835e-12,3.9163408405687164e-10,3.804445647404009e-11,0.0,0.9999999999999999,14.328992703762552,0.0
r6,5.0,0.000625,3000.0,8.0,3.6468322988295747,14.328992703762552,41.87314575451281,0.0031662929539155644,1.8285714285714285,True,True,True,True,True,True,True,0,23478,0,4.058731128964155e-11,-4.058731128964155e-11,4.440892098500626e-16,1.3971332646356416e-08,-1.3971332646356416e-08,-5.842304418024469e-11,1.3930745335066774e-08,-1.3930745335066774e-08,-5.842304418024469e-11,1.257863058867665e-06,1.4676356058525832e-12,2.585980188505656e-09,2.5845125530481533e-09,1.7533367488342268e-07,3.8044345451737627e-11,1.2522031008772884e-06,0.9999999999999999,14.328992703762552,0.0
time_refined,5.0,0.0003125,3000.0,8.0,3.6468322988295747,14.328992703762552,41.87314575451281,0.0007915732384788911,0.45714285714285713,True,True,True,True,True,True,True,0,23478,0,4.058731128964155e-11,-4.058731128964155e-11,4.440892098500626e-16,9.109513143812364e-10,-9.109513143812364e-10,-3.651412505689677e-12,8.703640030915949e-10,-8.703640030915949e-10,-3.651301483387215e-12,8.201451041149814e-08,1.4676356058525832e-12,1.6296618213267896e-10,1.6149854667517605e-10,1.106032062849383e-08,3.8044345451737627e-11,7.635455242112136e-08,0.9999999999999999,14.328992703762552,0.0
space_refined,2.5,0.000125,3000.0,8.0,3.6468322988295747,14.328992703762552,83.74629150902562,0.0001266517181572642,0.29257142857142854,True,True,True,True,True,True,True,0,23478,0,1.5909495942878493e-13,-1.5909495942878493e-13,4.440892098500626e-16,2.2438162439186726e-11,-2.2438162439186726e-11,-9.325873406851315e-14,2.2279289524362866e-11,-2.2279289524362866e-11,-9.336975637097567e-14,2.0201462777772696e-09,5.748749538756103e-15,4.139910774421621e-12,4.1341899713049315e-12,2.8071427951842857e-10,1.48991929904696e-13,3.639841699184876e-09,0.9999999999999999,14.328992703762552,0.0
coarse_125us,10.0,0.000125,3000.0,8.0,3.6468322988295747,14.328992703762552,20.936572877256406,0.00012665171799361137,0.018285714285714284,True,True,True,True,True,True,True,0,23478,0,1.0232106828489407e-08,-1.0232106828489407e-08,-1.1435297153639112e-14,1.0254385895969165e-08,-1.0254385895969165e-08,-1.0491607582707729e-13,2.2279289524362866e-11,-2.2279289524362866e-11,-9.325873406851315e-14,9.232199630775412e-07,3.71912079167646e-10,3.760462626960066e-10,4.13418352836059e-12,2.8488893627818263e-08,9.586022642338321e-09,9.175599751005791e-07,0.9999999999999999,14.328992703762552,0.0
coarse_250us,10.0,0.00025,3000.0,8.0,3.6468322988295747,14.328992703762552,20.936572877256406,0.0005066068719744455,0.07314285714285713,True,True,True,True,True,True,True,0,23478,0,1.0232106828489407e-08,-1.0232106828489407e-08,-1.1435297153639112e-14,1.0588592669336094e-08,-1.0588592669336094e-08,-1.50712775592865e-12,3.564860628912925e-10,-3.564860628912925e-10,-1.4954704141700859e-12,9.533091725239465e-07,3.71912079167646e-10,4.380602617447573e-10,6.614818257711128e-11,3.2693192760830426e-08,9.586022420293716e-09,9.476491845469844e-07,0.9999999999999999,14.328992703762552,0.0
teacher,5.0,0.000125,4500.0,8.0,3.6468322988295747,14.328992703762552,62.80971863176922,0.00012665171815724155,0.16457142857142856,True,True,True,True,True,True,True,0,23478,0,1.588063014423824e-12,-1.588063014423824e-12,4.440892098500626e-16,2.386735253878669e-11,-2.386735253878669e-11,-9.325873406851315e-14,2.227940054666533e-11,-2.227940054666533e-11,-9.336975637097567e-14,2.1488187155389617e-09,5.735431142986501e-14,4.191532977097672e-12,4.134186779917979e-12,2.8463136897033134e-10,1.4886980537198724e-12,0.0,0.9999999999999999,14.328992703762552,0.0
r6,5.0,0.000625,4500.0,8.0,3.6468322988295747,14.328992703762552,62.80971863176922,0.003166292953931039,4.114285714285715,True,True,True,True,True,True,True,0,23478,0,1.588063014423824e-12,-1.588063014423824e-12,4.440892098500626e-16,1.39323335091035e-08,-1.39323335091035e-08,-5.84227111133373e-11,1.393074555711138e-08,-1.393074555711138e-08,-5.842282213563976e-11,1.2543518996017704e-06,5.735431142986501e-14,2.5845699029412444e-09,2.584512556744064e-09,1.7522667251557708e-07,1.4889200983247974e-12,1.2522030908817599e-06,0.9999999999999999,14.328992703762552,0.0
time_refined,5.0,0.0003125,4500.0,8.0,3.6468322988295747,14.328992703762552,62.80971863176922,0.0007915732384827597,1.0285714285714287,True,True,True,True,True,True,True,0,23478,0,1.588063014423824e-12,-1.588063014423824e-12,4.440892098500626e-16,8.719521771283212e-10,-8.719521771283212e-10,-3.65107943878229e-12,8.703642251361998e-10,-8.703642251361998e-10,-3.651301483387215e-12,7.85033511456034e-08,5.735431142986501e-14,1.6155589190285443e-10,1.6149854570567473e-10,1.0953318075025647e-08,1.488809076022335e-12,7.63545424255929e-08,0.9999999999999999,14.328992703762552,0.0
space_refined,2.5,0.000125,4500.0,8.0,3.6468322988295747,14.328992703762552,125.61943726353844,0.00012665171815726665,0.6582857142857143,True,True,True,True,True,True,True,0,23478,0,6.439293542825908e-15,-6.439293542825908e-15,4.440892098500626e-16,2.228561779560323e-11,-2.228561779560323e-11,-9.29256671611256e-14,2.227940054666533e-11,-2.227940054666533e-11,-9.336975637097567e-14,2.0064124216843183e-09,2.7354930545645677e-16,4.134381094105594e-12,4.134197243368394e-12,2.8029484321396227e-10,5.995204332975845e-15,1.424262849115473e-10,0.9999999999999999,14.328992703762552,3.0
coarse_125us,10.0,0.000125,4500.0,8.0,3.6468322988295747,14.328992703762552,31.40485931588461,0.00012665171815084476,0.04114285714285714,True,True,True,True,True,True,True,0,23478,0,4.038063217137733e-10,-4.038063217137733e-10,-3.3306690738754696e-16,4.2608527817122877e-10,-4.2608527817122877e-10,-9.370282327836321e-14,2.227940054666533e-11,-2.227940054666533e-11,-9.325873406851315e-14,3.8361188936311956e-08,1.462130432739733e-11,1.8755492226553674e-11,4.134187899156345e-12,1.3895463671245403e-09,3.784532687234332e-10,3.6212370220772996e-08,0.9999999999999999,14.328992703762552,0.0
