c_mps,f0_hz,chain,min_amplitude,max_amplitude,energy_weighted_amplitude,energy_retained_fraction_within_band,min_energy_transfer,input_aliased_modes,saved_grid_aliased_modes,saved_time_aliased_frequencies,f0_axis_amplitude,f0_axis_energy
1500.0,8.0,teacher_5m_to_10m_only,0.9558046463449631,0.9970870147155932,0.9831564701451565,0.9666806386228286,0.91356252197462,0,0,0,0.9860450648149377,0.9722848698458947
1600.0,8.0,teacher_5m_to_10m_only,0.9610682102031456,0.99743934462732,0.9851788236791474,0.9706424795589222,0.9236521046630777,0,0,0,0.987726234834463,0.9756031149802648
1800.0,8.0,teacher_5m_to_10m_only,0.969132569730599,0.9979762672323039,0.9882685848831735,0.976715747442715,0.9392179377126344,0,0,0,0.9902917463630748,0.9806777429148286
3000.0,8.0,teacher_5m_to_10m_only,0.9887947436965225,0.9992710232483545,0.9957585237080905,0.9915404299928066,0.9777150451618717,0,0,0,0.9964959342585654,0.9930041469938511
4500.0,8.0,teacher_5m_to_10m_only,0.9950068948675581,0.9996759501713944,0.9981123663518614,0.9962293663537167,0.9900387208339798,0,0,0,0.998441371986065,0.9968851732934157
5800.0,8.0,teacher_5m_to_10m_only,0.9969918458422123,0.9998049227996582,0.9988632302233498,0.997728141207888,0.9939927406758617,0,0,0,0.999061522532346,0.9981239258046494
6000.0,8.0,teacher_5m_to_10m_only,0.9971888158163644,0.9998177101253658,0.9989377067455083,0.9978768812578762,0.9943855343892432,0,0,0,0.9991230224556172,0.9982468140008478
6750.0,8.0,teacher_5m_to_10m_only,0.9977782707355398,0.9998559659683193,0.9991605506769202,0.9983220179518433,0.9955614775520042,0,0,0,0.9993070263108002,0.9986145328341343
1500.0,15.0,teacher_5m_to_10m_only,0.8517617304103364,0.989793397690568,0.9421963297070738,0.8886829050668945,0.7254980453916107,0,0,0,0.9516553824444454,0.9056479669354836
1600.0,15.0,teacher_5m_to_10m_only,0.8686736873464116,0.9910242512592268,0.948988922230622,0.9013242430110703,0.7545939750880113,0,0,0,0.9574038694039227,0.9166221691496036
1800.0,15.0,teacher_5m_to_10m_only,0.8949718708752455,0.9929019040631042,0.9594439244210466,0.9210081576966003,0.8009746496579372,0,0,0,0.9662160886175889,0.9335735299034724
3000.0,15.0,teacher_5m_to_10m_only,0.9610682102031456,0.99743934462732,0.9851788236791473,0.9706424795589221,0.9236521046630777,0,0,0,0.987726234834463,0.9756031149802648
4500.0,15.0,teacher_5m_to_10m_only,0.9825378983755885,0.9988611879249304,0.9933816930369013,0.9868202870981784,0.9653807217443182,0,0,0,0.9945293977758622,0.9890887230404193
5800.0,15.0,teacher_5m_to_10m_only,0.9894577844473318,0.9993143359635513,0.9960100405134431,0.9920407738520065,0.9790267072034226,0,0,0,0.9967039100978019,0.9934186844042472
6000.0,15.0,teacher_5m_to_10m_only,0.9901460366532586,0.9993592718471735,0.996271048913736,0.9925601729666029,0.9803891739001561,0,0,0,0.9969197094409561,0.9938489070718404
6750.0,15.0,teacher_5m_to_10m_only,0.9922074148070799,0.9994937144462811,0.997052354406357,0.9941160050810942,0.9844755539981487,0,0,0,0.9975655337226086,0.995136994071273
1500.0,25.0,teacher_5m_to_10m_only,0.6332488824330575,0.9718837836667393,0.8486267715829607,0.7260361521390579,0.4010041471027163,0,0,0,0.8705127018922194,0.7577923641556921
1600.0,25.0,teacher_5m_to_10m_only,0.6705605421855069,0.9752494871375678,0.8654794598403576,0.753781069461008,0.44965144073612096,0,0,0,0.8854069113016277,0.7839453985806885
1800.0,25.0,teacher_5m_to_10m_only,0.7308881961026659,0.9803969915898335,0.891898083794468,0.7986267841966463,0.5341975552022089,0,0,0,0.9085023447291424,0.8253765103783495
3000.0,25.0,teacher_5m_to_10m_only,0.8949718708752455,0.9929019040631042,0.9594439244210465,0.9210081576966,0.8009746496579372,0,0,0,0.9662160886175889,0.9335735299034724
4500.0,25.0,teacher_5m_to_10m_only,0.9521213213853963,0.9968395680226296,0.9817385775236911,0.9639092264412663,0.9065350106366731,0,0,0,0.9848654541043427,0.9699599626881531
5800.0,25.0,teacher_5m_to_10m_only,0.9709446912903271,0.9980964416688451,0.988961439218929,0.9780810101869445,0.9427335935448686,0,0,0,0.9908665473543065,0.9818165146658441
6000.0,25.0,teacher_5m_to_10m_only,0.9728276291510609,0.9982211286831159,0.9896808143012615,0.9794998436741493,0.9463935960396741,0,0,0,0.9914631589730386,0.9829991956007968
6750.0,25.0,teacher_5m_to_10m_only,0.9784788546832114,0.9985942313591645,0.9918364789230494,0.9837595005281047,0.957420869062169,0,0,0,0.9932497876934493,0.9865451407530821
1500.0,30.0,teacher_5m_to_10m_only,0.5118105911254345,0.9597437601114015,0.7905076629375957,0.6353705301722816,0.26195008118816665,0,0,0,0.8181356214843424,0.6693458951415712
1600.0,30.0,teacher_5m_to_10m_only,0.5573938294414865,0.9645382088486051,0.8129708176324926,0.6695039077899854,0.31068788109944495,0,0,0,0.8385702351969091,0.7032000393581994
1800.0,30.0,teacher_5m_to_10m_only,0.6332488824330575,0.9718837836667393,0.8486267715829607,0.7260361521390578,0.4010041471027163,0,0,0,0.8705127018922194,0.7577923641556921
3000.0,30.0,teacher_5m_to_10m_only,0.8517617304103364,0.989793397690568,0.9421963297070738,0.8886829050668945,0.7254980453916107,0,0,0,0.9516553824444454,0.9056479669354836
4500.0,30.0,teacher_5m_to_10m_only,0.9316681905875648,0.9954518807339032,0.973824135520521,0.9485344270319938,0.868005617352707,0,0,0,0.9782669825722278,0.9570062891909714
5800.0,30.0,teacher_5m_to_10m_only,0.958385066442811,0.9972599287514526,0.9841484769804664,0.9686226891829827,0.9185019355805912,0,0,0,0.9868699076686136,0.973912214661858
6000.0,30.0,teacher_5m_to_10m_only,0.9610682102031456,0.99743934462732,0.9851788236791473,0.9706424795589221,0.9236521046630777,0,0,0,0.987726234834463,0.9756031149802648
6750.0,30.0,teacher_5m_to_10m_only,0.969132569730599,0.9979762672323039,0.9882685848831734,0.976715747442715,0.9392179377126344,0,0,0,0.9902917463630748,0.9806777429148286
