rung,width,dense_depth,dense_spectral_rank,dense_modes,regime,params,best_overfit_agg,coarse_agg,uniform,layered,marmousi,status
R0_w64_d8_r112_m32,64,8,112,32,"warmstart@250,f16",18934957,0.1773,0.1804,0.2576,0.1403,0.1431,done
R1_w64_d16_r112_m32,64,16,112,32,"warmstart@250,f16",31935541,0.1779,0.1804,0.2567,0.142,0.1443,done
R2_w64_d16_r224_m32,64,16,224,32,"warmstart@250,f16",109237045,0.1811,0.1827,0.2611,0.1458,0.1438,done
R3_w64_d24_r224_m64,64,24,224,64,"warmstart@250,f16",315029053,0.2003,0.1973,0.2894,0.1704,0.1515,done
W0_w64_d12,64,12,112,32,"fresh@800,f16",25435249,0.1687,0.3582,0.1653,0.1337,0.1953,done
W1_w96_d12,96,12,112,32,"fresh@800,f16",25980529,0.1417,0.3508,0.1376,0.116,0.1651,done
W2_w128_d12,128,12,112,32,"fresh@800,f16",26677361,0.1374,0.3037,0.1276,0.1139,0.1599,done
W3_w192_d12,192,12,112,32,"fresh@800,f16",28525681,0.1254,0.4025,0.114,0.1147,0.1443,done
W_f4_w192_d12,192,12,112,32,"fresh@800,f4",28525681,0.1494,0.2503,0.1885,0.1159,0.1486,done
W_f4_w256_d12,256,12,112,32,"fresh@800,f4",30980209,0.1457,0.1912,0.2067,0.111,0.131,done
M_w128_modes64,128,12,112,64,"fresh@800,f16",45944945,0.1368,0.3087,0.1278,0.1132,0.158,done
M_w128_modes101,128,12,112,101,"fresh@800,f16",68223089,0.1347,0.3164,0.1223,0.1113,0.1651,done
