[2026-08-24 04:19:57 UTC] r20 full launch supervisor_pid=360899
{"agg": 0.02337270502267344, "family": {"layered": 0.012634701748288655, "marmousi": 0.044083367846558204, "uniform": 0.013400045473173463}, "update": 100}
{"agg": 0.023212263844153258, "family": {"layered": 0.012520972161831708, "marmousi": 0.043771886595854834, "uniform": 0.013343932774773234}, "update": 200}
{"agg": 0.023376252872700797, "family": {"layered": 0.012739807412348661, "marmousi": 0.043964887539927076, "uniform": 0.013424063665826658}, "update": 300}
{"agg": 0.02351433982851457, "family": {"layered": 0.012917369704118472, "marmousi": 0.04401172379067065, "uniform": 0.013613925990754595}, "update": 400}
{"agg": 0.023429505445331084, "family": {"layered": 0.012883893846444682, "marmousi": 0.04383680498468803, "uniform": 0.013567817504860547}, "update": 500}
{"agg": 0.023282724993974453, "family": {"layered": 0.012904075988324956, "marmousi": 0.043483525363485966, "uniform": 0.013460573630112438}, "update": 600}
{"agg": 0.02372585182565826, "family": {"layered": 0.01382260471584238, "marmousi": 0.043898215961574595, "uniform": 0.01345673479955781}, "update": 700}
{"agg": 0.023505239591786648, "family": {"layered": 0.013401169972424493, "marmousi": 0.0435521660199063, "uniform": 0.013562382783029158}, "update": 800}
{"agg": 0.023191412959322793, "family": {"layered": 0.012856760698998364, "marmousi": 0.04341681041569674, "uniform": 0.013300667763273277}, "update": 900}
{"agg": 0.023015492167696102, "family": {"layered": 0.012694865314964754, "marmousi": 0.04301220377821728, "uniform": 0.013339407409906271}, "update": 1000}
{"agg": 0.023212124944405988, "family": {"layered": 0.013401482238907195, "marmousi": 0.042978891057116116, "uniform": 0.01325600153719466}, "update": 1100}
{"agg": 0.022939744477572355, "family": {"layered": 0.012832181375494205, "marmousi": 0.04248665816180083, "uniform": 0.013500393895422017}, "update": 1200}
{"agg": 0.0227685516080469, "family": {"layered": 0.01277311191696206, "marmousi": 0.04239048751987468, "uniform": 0.013142055387303958}, "update": 1300}
{"agg": 0.022625425273212388, "family": {"layered": 0.012486942329528471, "marmousi": 0.04219084075279293, "uniform": 0.013198492737315761}, "update": 1400}
{"agg": 0.022453578050546447, "family": {"layered": 0.012486787828947968, "marmousi": 0.04179332622939495, "uniform": 0.013080620093296417}, "update": 1500}
{"agg": 0.02240013704970607, "family": {"layered": 0.012316057937965506, "marmousi": 0.041848249343778295, "uniform": 0.0130361038673744}, "update": 1600}
{"agg": 0.02250149590217239, "family": {"layered": 0.012508593199320456, "marmousi": 0.041954507785383656, "uniform": 0.013041386721813052}, "update": 1700}
{"agg": 0.022818138368162474, "family": {"layered": 0.013573532759797302, "marmousi": 0.04166287747612666, "uniform": 0.01321800486856346}, "update": 1800}
{"agg": 0.022153375639463704, "family": {"layered": 0.012222747279496793, "marmousi": 0.04127909921761868, "uniform": 0.012958280421275638}, "update": 1900}
{"agg": 0.022323164213043967, "family": {"layered": 0.01243104981545533, "marmousi": 0.041608222963445796, "uniform": 0.012930219860230789}, "update": 2000}
{"agg": 0.022286511281202296, "family": {"layered": 0.012456455562660104, "marmousi": 0.04123648565022429, "uniform": 0.013166592630722503}, "update": 2100}
{"agg": 0.022376990611736095, "family": {"layered": 0.012988693920358677, "marmousi": 0.040967965849179534, "uniform": 0.013174312065670076}, "update": 2200}
{"agg": 0.021955579006867898, "family": {"layered": 0.012172491372653565, "marmousi": 0.04078952312380437, "uniform": 0.012904722524145764}, "update": 2300}
